T,M,C,chi,ksai
0.5,1.0,0.0,0.0,1.0000000008645749
1.0,0.99999107142857147,7.7487243288487662e-08,2.1524233506653445e-09,0.095563606171461382
2.0,0.99431250000000027,4.5139591826170999e-05,1.3911830354373933e-06,0.25633623238473829
3.0,0.93172142857142859,0.096645388214287031,0.011667649183673579,0.36926045510644728
3.5,0.86318928571428533,0.1029679221811195,0.014270361492347949,0.43989395902035128
4.0,0.70100357142857139,0.21799569265305818,0.033348818737245101,0.52055483467684338
4.2,0.54790178571428594,0.29461042551020422,0.058432073836096776,0.55848758162962886
4.4,0.32657142857142857,0.2140716239158168,0.042931959183673485,0.61680127137361718
4.5,0.11200178571428572,0.11474348801020429,0.0142002316932398,0.66862319193962905
4.6,0.082351785714285752,0.089322601326530304,0.0058377793718112168,0.65004046399792126
4.8,0.045632142857142843,0.063270615612244785,0.0014997923596938791,0.58073535189528824
5.0,0.016512499999999999,0.037643676670918336,0.00030356904017857103,0.51192993796748198
5.2,0.023455357142857142,0.027002546058673527,0.00026658506058673415,0.4792189848299141
5.4,0.029624999999999995,0.02104571452806131,0.00028882366071428657,0.46673947591659909
5.6,0.01565892857142857,0.017281227755102033,9.0599295280612317e-05,0.42610039197793864
5.8,0.018682142857142862,0.018399115255102128,0.00015594360969387722,0.42007503544490493
6.0,0.030074999999999998,0.014607810446428726,0.00040881044642857229,0.43261090245579897
6.2,0.021960714285714288,0.010822588469387717,0.00021980917091836741,0.40290534772040915
6.4,0.012983928571428566,0.0084569978954081512,0.00010624036670918392,0.37926281544690288
6.6,0.01409107142857142,0.0075898957142857271,7.6605545280612508e-05,0.38434792985263344
6.8,0.0111875,0.0097301046428570973,6.4421540178571333e-05,0.35507270856863826
7.0,0.0076946428571428496,0.010168329285714275,2.39054177295919e-05,0.37521013079858795
