T,M,C,chi,ksai
1.7,0.83754571428571423,0.32234295493877463,0.10447804562449015,0.52759375535275133
1.8,0.84922428571428576,0.27615088505306007,0.084702929981632202,0.52764862508873145
2.0,0.71269571428571388,0.39329108617142716,0.13142095112449037,0.6076372259040006
2.2,0.38707857142857144,0.3417069366204083,0.13855093468367352,0.94950376572420392
2.22,0.36010285714285717,0.3307977057632655,0.12123524942040831,0.99933771551491168
2.24,0.35645999999999994,0.30132989097142859,0.1095478586857144,1.1385993397860801
2.26,0.28239142857142852,0.2827756442122451,0.089154579355102084,1.213847087299073
2.27,0.29983142857142853,0.26401332502040853,0.081446468726530621,1.3294049731741375
2.28,0.19046714285714281,0.24842897158367372,0.058098920920408199,1.1639641481445948
2.29,0.16483714285714288,0.24135626673469379,0.041594542048979589,1.4387025798031594
2.3,0.11763142857142854,0.20667323588571418,0.025967981869387761,1.4328230912132325
2.32,0.080704285714285756,0.18689108586938746,0.010805092838775501,1.2858455283277375
2.34,0.039495714285714301,0.12706202360000018,0.0015971454102040805,1.0545509494171541
2.36,0.04297714285714286,0.11638025456326517,0.0020309691918367354,1.0375766776304727
2.38,0.031339999999999993,0.105916501053061,0.0011780209714285729,0.92590059372120714
2.4,0.030797142857142846,0.098089197869387523,0.00092138113469387788,0.91077595268296163
2.45,0.034134285714285714,0.078055055110204191,0.00063988482448979595,0.81786097260687529
2.5,0.024997142857142846,0.064319729395918429,0.00064053370612244989,0.80597154462656106
2.55,0.040177142857142842,0.055994983869387588,0.0012528400489795928,0.7761754226721036
2.6,0.020330000000000004,0.044365104195918437,0.00031647938571428548,0.65136412861753434
2.7,0.026252857142857151,0.031989405020408146,0.00022578434897959124,0.63128930571724129
2.8,0.017304285714285706,0.030911374195918384,0.00016703512448979602,0.59946549578411645
3.0,0.01816857142857143,0.017815780440816331,0.00014180472653061219,0.52208168788498333
